08-02 15:14:27,82.549,16.210,0.748,0,0.499,2762832,2690864,16796,555096
08-02 15:14:28,79.401,18.285,1.753,0,0.250,2763172,2689604,16796,555988
08-02 15:14:29,82.051,15.510,1.251,0,0,2763540,2688380,16796,556820
08-02 15:14:30,79.744,18.249,1.250,0,0,2764692,2686168,16796,557848
08-02 15:14:31,84.512,13.752,0.750,0,0.750,2768024,2682136,16796,558540
08-02 15:14:32,85.488,14.498,0.500,0,0.250,2768052,2681384,16796,559248
08-02 15:14:33,82.743,15.249,1.000,0,0,2806940,2641568,16796,560152
08-02 15:14:34,81.513,17.253,1.000,0,0.500,2832952,2614868,16796,560824
08-02 15:14:35,77.893,20.721,0.999,0,0.250,2896412,2550360,16796,561844
08-02 15:14:36,82.362,15.271,1.001,0,0.501,2899988,2545824,16796,562792
08-02 15:14:37,82.191,15.988,0.999,0,0,2901508,2543304,16796,563768
08-02 15:14:38,86.252,14.250,0.500,0,0,2904188,2539776,16796,564588
08-02 15:14:39,80.062,17.513,1.001,0,0,2904604,2538520,16796,565412
08-02 15:14:40,80.000,17.250,2.250,0,0,2904500,2537264,16796,566728
08-02 15:14:41,76.244,19.248,2.500,0,0.500,2904612,2536256,16796,567608
08-02 15:14:42,81.491,16.498,1.500,0,0,2908340,2531468,16804,568628
08-02 15:14:43,78.751,19.250,1.500,0,0,2907848,2530712,16804,569852
08-02 15:14:44,79.569,17.959,1.497,0,0,2908008,2529704,16804,570672
08-02 15:14:45,82.692,16.037,0.501,0,0,2907168,2529452,16804,571740
08-02 15:14:46,83.707,13.243,1.249,0,0.500,2910076,2525700,16804,572564
08-02 15:14:47,82.480,14.746,0.250,0,0.250,2910840,2524224,16804,573260
08-02 15:14:48,79.720,15.494,0.750,0,0,2910976,2523468,16804,573860
08-02 15:14:49,77.775,18.256,1.250,0,0.250,2921440,2512128,16804,574716
08-02 15:14:50,76.014,19.504,0.750,0,0.750,2963172,2469444,16804,575640
08-02 15:14:51,74.803,20.765,2.001,0,1.751,3010328,2421448,16804,576464
08-02 15:14:52,77.385,18.722,2.247,0,0.749,3010144,2420692,16804,577380
08-02 15:14:53,79.325,19.018,1.501,0,0.250,3025236,2404840,16804,578116
08-02 15:14:54,80.509,17.502,1.500,0,0,3039212,2389720,16804,579236
08-02 15:14:55,82.658,14.734,1.498,0,0.250,3041028,2387200,16804,579924
08-02 15:14:56,77.114,19.028,2.754,0,1.001,3041640,2385476,16804,581004
08-02 15:14:57,77.455,18.739,1.999,0,0,3042020,2383964,16804,582108
08-02 15:14:58,75.390,19.971,3.245,0,0.250,3031440,2393244,16804,583364
08-02 15:14:59,79.417,18.789,1.503,0,0,3031324,2392408,16804,584288
08-02 15:15:00,80.758,17.252,1.250,0,0.250,3022836,2399720,16804,585440
08-02 15:15:01,83.733,13.997,1.250,0,0.500,3023472,2398488,16804,586012
08-02 15:15:02,70.454,18.238,2.748,0,9.244,3024256,2396724,16804,586972
08-02 15:15:03,75.554,15.261,1.001,0,8.006,3023596,2396640,16804,587696
08-02 15:15:04,80.184,15.737,0.250,0,3.747,3033828,2385668,16804,588416
08-02 15:15:05,78.783,15.757,1.251,0,4.252,3034348,2384328,16804,589216
08-02 15:15:06,73.498,18.999,3.000,0.250,4.000,3035200,2382344,16804,590320
08-02 15:15:07,75.778,15.256,3.001,0,6.502,3036320,2380356,16804,591164
08-02 15:15:08,74.207,18.489,3.998,0,1.499,3035796,2379832,16804,592184
08-02 15:15:09,73.770,19.755,4.001,0,0.750,3037012,2377480,16804,593296
